date,open,high,low,close
1639911600000,47125.01000000,47353.80000000,46124.00000000,47152.69000000
1639915200000,47152.69000000,47403.75000000,46744.75000000,47250.62000000
1639918800000,47252.99000000,47544.97000000,46744.75000000,47544.97000000
1639922400000,47544.97000000,48015.70000000,46744.71000000,47395.56000000
1639926000000,47393.21000000,47465.26000000,47150.01000000,47234.57000000
1639929600000,47234.54000000,47478.72000000,47002.24000000,47162.58000000
1639933200000,47159.92000000,47235.21000000,46800.86000000,47139.13000000
1639936800000,47141.22000000,47178.90000000,46885.06000000,47119.15000000
1639940400000,47119.59000000,47220.00000000,46605.32000000,46672.45000000
1639944000000,46673.91000000,47049.11000000,46603.49000000,46777.63000000
1639947600000,46776.39000000,47047.83000000,46633.42000000,46730.36000000
1639951200000,46720.00000000,47547.75000000,46659.53000000,47310.00000000
1639954800000,47296.67000000,48015.70000000,46603.49000000,46681.22000000
1639958400000,46680.38000000,47766.00000000,46196.35000000,46875.16000000
1639962000000,46877.38000000,47186.49000000,46493.20000000,46623.96000000
1639965600000,46611.37000000,46827.73000000,46416.92000000,46725.60000000
1639969200000,46731.85000000,46831.10000000,46196.35000000,46685.04000000
1639972800000,46687.22000000,47010.25000000,46661.09000000,46976.71000000
1639976400000,46967.48000000,47203.99000000,46300.00000000,46431.49000000
1639980000000,46431.92000000,46652.33000000,46163.54000000,46553.00000000
1639983600000,46546.47000000,46553.00000000,46134.57000000,46426.71000000
1639987200000,46419.03000000,46669.05000000,46132.74000000,46278.90000000
1639990800000,46250.02000000,46303.80000000,45917.71000000,45917.71000000
1639994400000,45917.71000000,46131.65000000,45830.51000000,45873.26000000
1639998000000,45877.28000000,46256.73000000,45636.31000000,46087.12000000
1640001600000,46090.24000000,46287.41000000,45453.90000000,45730.01000000
1640005200000,45721.53000000,46287.41000000,45453.90000000,45708.92000000
